seed	s	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	anc_switches	global_75_prop	iDAT_score
553	0	0.670519394427538	0.5894806	0.6947674	0.6883175	0.0006751247	0.0001518251	0.7238372	17.68566	17.56651	0.7526657	18.66497	0	0	13.53198	0.2034884	-0.937888542979126
554	0	0.706168495677412	0.4449567	0.7034884	0.7044969	0.0005715898	7.241705e-05	0.75	17.73792	17.59362	0.7164279	18.71078	0.004032258	0	13.15988	0.2383721	-0.802359743111579
555	0	0.727418094826862	0.08362208	0.7005814	0.7301358	0.0005772729	0.0002277959	0.7732558	17.9275	17.75844	0.8462232	18.93878	0.02661597	0.003802281	12.03779	0.4593023	-0.772983593889681
556	0	0.744033010769635	0.8414742	0.7790698	0.7537126	0.0004899717	0.0001199382	0.7906977	18.07399	17.91742	0.6739426	19.00108	0.04365079	0.003968254	11.38953	0.5406977	-1.1722563254009
557	0	0.706622090702876	0.1861318	0.6947674	0.7170033	0.0005805383	7.552429e-05	0.752907	17.93441	17.7998	0.5901154	18.83545	0.02892562	0	12.55814	0.3430233	-0.865148728034885
558	0	0.693646026263014	0.01764964	0.630814	0.6755108	0.0004856875	0.0005473854	0.7151163	17.77132	17.58158	0.6474456	18.69455	0.004424779	0	13.5814	0.1860465	-0.612914949489324
559	0	0.672795712645166	0.5428976	0.6715116	0.6685064	0.0007824243	0.0001513439	0.7122093	17.60055	17.5019	0.6901122	18.72164	0.004132231	0	14.09012	0.1511628	-0.74674390088455
55	0	0.672838823893107	0.1149776	0.6424419	0.669759	0.000603534	0.0004384508	0.7063953	17.65079	17.51571	0.6190088	18.5867	0.01282051	0	14.38372	0.1627907	-1.07530256511923
560	0	0.672388151707128	0.2759219	0.6482558	0.6624663	0.0006448563	0.0003338626	0.7063953	17.65461	17.48845	0.7344824	18.63011	0	0	13.90116	0.2151163	-0.603794313622681
561	0	0.725144575932063	0.124439	0.7034884	0.7290633	0.0005666892	7.017299e-05	0.7703488	17.98213	17.76027	0.6782312	18.7898	0.0167364	0.0041841	12.20349	0.4534884	-1.08788404607546
562	0	0.700814520707354	0.4611592	0.7005814	0.7017214	0.0004882851	0.0003038789	0.7383721	17.72438	17.54704	0.9062588	18.76492	0.01209677	0	13.57267	0.3372093	-0.580240405267176
563	0	0.651961331814528	0.04489079	0.6162791	0.6594436	0.0006341897	0.0001841686	0.6976744	17.74034	17.55825	0.7908407	18.62082	0.00896861	0	14.02616	0.1686047	-0.793144074855681
564	0	0.694509552186355	0.5417219	0.6976744	0.6928297	0.0005953713	0.0002609315	0.7267442	17.80553	17.60346	0.7905408	18.69174	0.008733624	0	13.42733	0.2325581	-0.925613028249435
565	0	0.674679040000774	0.4893282	0.6947674	0.6942364	0.0005634682	0.0003804073	0.7267442	17.64622	17.48446	0.8077879	18.66948	0	0	13.95349	0.2383721	-0.498649229927318
566	0	0.653591441130266	0.6260136	0.6627907	0.6511221	0.0007021697	0.0003216367	0.6976744	17.64913	17.57549	0.5889853	18.66856	0.009009009	0.004504505	14.43605	0.1395349	-0.581135431101597
567	0	0.689798266114667	0.8603089	0.7325581	0.7103596	0.0005154875	0.0001785848	0.7383721	17.82793	17.64288	0.7643375	18.7262	0.01209677	0	13.49419	0.2965116	-1.14594227903238
568	0	0.665105359209701	0.8147421	0.6918605	0.666526	0.0006994401	7.9304e-05	0.7151163	17.66931	17.56271	0.6802892	18.71505	0	0	14.31395	0.1627907	-0.74039055287237
569	0	0.672678107162938	0.8838681	0.7034884	0.6718524	0.0007175078	0.0004912556	0.7180233	17.62815	17.52145	0.624417	18.54879	0.008264463	0	14.18895	0.25	-0.809779115827367
56	0	0.667502258392051	0.08473839	0.6395349	0.6759566	0.0005795021	5.740028e-05	0.7122093	17.6927	17.52556	0.6995018	18.56389	0	0	14.42733	0.1395349	-0.596341104162577
